stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
7247,57176.0,Westbound Fraser Hwy @ 232 St,,49.082529,-122.581931,BUS ZN,,0,,1,8728ded05ffffff,8828ded057fffff,8928ded0567ffff,8a28ded0564ffff
7249,57178.0,Westbound 48 Ave @ 222 St,,49.089466,-122.608714,BUS ZN,,0,,1,8728ded2affffff,8828ded2a7fffff,8928ded2a67ffff,8a28ded2a647fff
725,50718.0,Northbound Nanaimo St @ S Grandview Hwy,,49.257382,-123.056473,BUS ZN,,0,,1,8728de8d0ffffff,8828de8d05fffff,8928de8d043ffff,8a28de8d040ffff
7250,57179.0,Westbound 48 Ave @ 221 St,,49.089475,-122.612011,BUS ZN,,0,,1,8728ded2affffff,8828ded0c9fffff,8928ded0c93ffff,8a28ded0c937fff
7251,57180.0,Westbound 48 Ave @ 219 St,,49.089492,-122.616401,BUS ZN,,0,,1,8728ded2affffff,8828ded2a3fffff,8928ded2a2fffff,8a28ded2a2dffff
7253,57182.0,Westbound 48 Ave @ 214A St,,49.089514,-122.629794,BUS ZN,,0,,1,8728ded2bffffff,8828ded2b5fffff,8928ded2b57ffff,8a28ded2b54ffff
7254,57183.0,Westbound 48 Ave @ 210 St,,49.08962,-122.642152,BUS ZN,,0,,2,8728ded2bffffff,8828ded2b1fffff,8928ded2b07ffff,8a28ded2b04ffff
7255,57184.0,Westbound 48 Ave @ 209 St,,49.089636,-122.645177,BUS ZN,,0,,1,8728ded2bffffff,8828ded2b3fffff,8928ded2b33ffff,8a28ded2b327fff
7259,57188.0,Langley Centre @ Bay 6,,49.106538,-122.654955,BUS ZN,,0,,1,8728ded0dffffff,8828ded0dbfffff,8928ded0da7ffff,8a28ded0da4ffff
7260,57189.0,Northbound Glover Rd @ Eastleigh Cres,,49.107608,-122.651311,BUS ZN,,0,,1,8728ded0dffffff,8828ded0dbfffff,8928ded0dafffff,8a28ded0daeffff
